blk_no,street,max_floor_lvl,bldg_contract_town,total_dwelling_units,1room_sold,2room_sold,3room_sold,4room_sold,5room_sold,exec_sold,multigen_sold,studio_apartment_sold,1room_rental,2room_rental,3room_rental,other_room_rental,n_sold,n_rental,n_residents,remaining_lease,Latitude,Longitude,Postcode,hdb_town
187,BOON LAY AVE,22,JW,438,0,0,436,0,2,0,0,0,0,0,0,0,438,0,1097.0,53,1.34505773588933,103.710699802755,640187,JURONG WEST
187,BT BATOK WEST AVE 6,13,BB,120,0,0,0,96,24,0,0,0,0,0,0,0,120,0,400.79999999999995,66,1.34651344118157,103.744614358938,650187,BUKIT BATOK
187,PASIR RIS ST 11,13,PRC,71,0,0,0,0,71,0,0,0,0,0,0,0,71,0,248.5,70,1.36478561975397,103.959292481623,510187,PASIR RIS
187,PUNGGOL CTRL,14,PG,78,0,0,0,0,26,52,0,0,0,0,0,0,78,0,288.6,80,1.39875203407677,103.910880669271,820187,PUNGGOL
187A,BEDOK NTH ST 4,19,BD,144,0,0,0,108,36,0,0,0,0,0,0,0,144,0,482.4,95,1.33087094745916,103.940210775064,461187,BEDOK
187A,RIVERVALE DR,17,SK,95,0,0,0,16,79,0,0,0,0,0,0,0,95,0,329.3,77,1.39380392749097,103.905810274661,541187,SENGKANG
187B,BEDOK NTH ST 4,19,BD,144,0,0,0,108,36,0,0,0,0,0,0,0,144,0,482.4,95,1.3304987981324,103.939995686405,462187,BEDOK
187B,RIVERVALE DR,17,SK,95,0,0,0,16,79,0,0,0,0,0,0,0,95,0,329.3,77,1.39429790657459,103.90584757628,542187,SENGKANG
188,BISHAN ST 13,12,BH,88,0,0,44,44,0,0,0,0,0,0,0,0,88,0,255.2,64,1.34992208546794,103.851754115787,570188,BISHAN
188,BOON LAY DR,10,JW,249,0,33,0,0,0,0,0,0,36,180,0,0,33,216,600.9,53,1.34381009067475,103.710990466041,640188,JURONG WEST
188,BT BATOK WEST AVE 6,11,BB,90,0,0,0,70,20,0,0,0,0,0,0,0,90,0,301.0,73,1.34600053317682,103.745834636253,650188,BUKIT BATOK
188,PASIR RIS ST 12,13,PRC,84,0,0,0,12,72,0,0,0,0,0,0,0,84,0,291.6,71,1.36529812070636,103.959160173062,510188,PASIR RIS
188,PUNGGOL CTRL,17,PG,95,0,0,0,0,31,64,0,0,0,0,0,0,95,0,351.7,81,1.39893869186338,103.910538480996,820188,PUNGGOL
188A,BEDOK NTH ST 4,16,BD,104,0,0,22,82,0,0,0,0,0,0,0,0,104,0,325.59999999999997,95,1.33163353101368,103.941371320775,461188,BEDOK
188A,RIVERVALE DR,17,SK,100,0,0,0,27,73,0,0,0,0,0,0,0,100,0,344.6,76,1.39428260901923,103.905324978488,541188,SENGKANG
188B,BEDOK NTH ST 4,16,BD,84,0,0,58,26,0,0,0,0,0,0,0,0,84,0,230.8,95,1.33196249675669,103.941467643694,462188,BEDOK
188B,RIVERVALE DR,17,SK,144,0,0,0,50,94,0,0,0,0,0,0,0,144,0,494.0,76,1.39454068651965,103.905458975406,542188,SENGKANG
188C,BEDOK NTH ST 4,16,BD,150,0,64,30,30,0,0,0,26,0,0,0,0,150,0,391.2,96,1.33180346002147,103.940785939953,463188,BEDOK
188C,RIVERVALE DR,17,SK,144,0,0,0,50,94,0,0,0,0,0,0,0,144,0,494.0,76,1.39522162663414,103.904808624541,543188,SENGKANG
188D,BEDOK NTH ST 4,19,BD,180,0,52,36,36,0,0,0,56,0,0,0,0,180,0,462.0,96,1.33168420406758,103.940493118435,464188,BEDOK
188D,RIVERVALE DR,17,SK,100,0,0,0,27,73,0,0,0,0,0,0,0,100,0,344.6,76,1.3949529972221,103.904008558369,544188,SENGKANG
189,BISHAN ST 13,12,BH,88,0,0,44,44,0,0,0,0,0,0,0,0,88,0,255.2,64,1.35022254582522,103.851833543469,570189,BISHAN
