blk_no,street,Postcode,p_sup400,p_supDist,p_fd400,p_mrt400,p_mrtDist,p_cbdDist,p_psc400,p_sch2km,p_pri2km,p_grn400
352,CLEMENTI AVE 2,120352,78,1,94,100,51,37,100,55,9,79
352,HOUGANG AVE 7,530352,100,94,91,100,59,32,68,42,34,29
352,JURONG EAST ST 31,600352,89,10,86,75,18,78,92,49,12,64
352,KANG CHING RD,610352,100,88,97,100,37,82,76,59,12,19
352,TAMPINES ST 33,520352,89,48,88,100,71,59,76,59,26,83
352,UBI AVE 1,400352,100,96,88,100,35,13,92,71,65,100
352,WOODLANDS AVE 1,730352,100,84,94,100,45,88,84,46,76,72
352,YISHUN RING RD,760352,78,52,80,100,85,73,64,42,41,6
352A,CANBERRA RD,751352,45,21,64,75,4,93,64,75,59,44
352B,CANBERRA RD,752352,45,19,64,75,2,93,68,78,59,49
352C,CANBERRA RD,753352,67,15,68,75,1,92,76,75,59,56
353,ANG MO KIO ST 32,560353,89,33,71,100,44,23,84,52,13,15
353,BT BATOK ST 34,650353,56,54,69,100,21,71,68,62,57,100
353,CHOA CHU KANG CTRL,680353,78,48,63,75,17,81,72,55,39,47
353,HOUGANG AVE 7,530353,100,96,95,100,63,33,72,42,34,31
353,KANG CHING RD,610353,100,93,97,100,31,82,80,59,12,13
353,TAMPINES ST 33,520353,89,64,87,100,75,59,80,55,26,83
353,WOODLANDS AVE 1,730353,89,76,94,100,39,88,88,46,76,74
353,YISHUN RING RD,760353,78,39,79,100,87,73,64,46,41,6
353A,ANCHORVALE LANE,541353,100,93,96,100,84,45,84,39,44,13
353A,ADMIRALTY DR,751353,45,12,63,75,4,93,68,68,59,61
353B,ANCHORVALE LANE,542353,100,87,96,100,83,46,84,36,44,11
353B,ADMIRALTY DR,752353,56,8,68,75,2,93,80,68,59,59
353C,ADMIRALTY DR,753353,67,7,65,75,1,92,68,68,59,57
354,ANG MO KIO ST 32,560354,89,30,71,100,48,23,84,46,13,18
354,BT BATOK ST 31,650354,56,46,65,75,18,71,72,65,57,100
354,CHOA CHU KANG CTRL,680354,78,58,57,75,12,81,64,52,39,71
354,CLEMENTI AVE 2,120354,78,8,94,100,47,37,92,55,9,69
354,HOUGANG AVE 7,530354,100,96,89,100,62,33,72,42,34,24
354,KANG CHING RD,610354,100,86,97,100,39,82,72,59,12,12
354,TAMPINES ST 33,520354,89,50,87,100,69,59,80,55,26,83
354,WOODLANDS AVE 1,730354,89,66,92,100,34,89,84,46,76,71
354,YISHUN RING RD,760354,78,32,81,100,87,73,76,46,41,5
354A,ADMIRALTY DR,751354,67,3,66,75,3,93,68,68,59,60
354B,ADMIRALTY DR,752354,56,7,62,75,5,93,64,71,59,63
354C,ADMIRALTY DR,753354,56,13,62,75,9,93,57,71,59,64
354D,ADMIRALTY DR,754354,56,15,62,75,7,93,68,71,59,66
355,BT BATOK ST 31,650355,56,51,67,75,17,70,76,55,57,50
355,CHOA CHU KANG CTRL,680355,78,44,57,75,8,82,64,52,39,70
355,CLEMENTI AVE 2,120355,67,30,82,100,29,38,88,62,9,78
355,HOUGANG AVE 7,530355,100,85,85,100,49,32,68,42,34,34
355,KANG CHING RD,610355,89,76,97,100,46,82,60,62,12,15
355,TAMPINES ST 33,520355,89,28,88,100,62,58,72,46,26,83
355,WOODLANDS AVE 1,730355,78,65,57,100,31,90,80,46,76,58
355,YISHUN RING RD,760355,78,35,81,100,86,73,80,46,41,3
355A,ANCHORVALE LANE,541355,100,96,98,100,86,45,88,36,44,25
355A,SEMBAWANG WAY,751355,78,2,67,75,2,92,72,68,59,58
355A,YISHUN RING RD,761355,78,49,79,100,84,73,72,42,41,4
356,BT BATOK ST 31,650356,67,43,72,75,17,70,80,55,57,24
356,CLEMENTI AVE 2,120356,78,23,85,100,34,37,88,62,9,57
